text,label
"Food here is terrible! I should have known that this place wasn't authentic right at the moment when I had to ASK if they sell soft tacos. We tried alot: the tacos, burrito, the taco salad. They all taste like they were made with a sprinkle of depression on top. I should have followed my gut feeling. Btw, the refried beans here are straight sad and the tacos at Jack in the Box taste better!",0
One of the worse carne asada burritos I ever had.    I will never go back.   And the salsa?   You've got to be kidding me.    Did you get it from a can?,0
"My typical rule of thumb is that I need to have 3 negative experiences at a place I typically go to before I stop going there and think about writing a negative review. I gave this place until the 5th negative experience because I work the graveyard shift and it is one of the few nearby options I rely on on a consistent basis for my lunch-break meal in the middle of the night. \n\nWhat pushed it over the edge this time? A simple order, two chicken enchiladas. What was inside could be best described as cold and uncooked. My vegetables were barely cut up (green pepper chunks bigger than the size of your thumb and what looked to be a quartered tomatos) and were still fresh and crisp, as if they never even entered a warm pot at all. The entire dish was slightly above room temperature. I will still go to other Roberto's locations (and switch to the Don Tortaco that's an additional 3 miles away if I'm really craving it), but I will avoid this one at all costs.",0
"This place really don't deserve 1 star, 4 the simple reason I ordered a chicken burrito with rice & beans. & I pacifically asked 4 no peppers & onions. I explained when ordering ice been 2 your other locations & had it without. Let alone it seamed that the chicken was missing. So if u happen 2 order from their other locations take key & notice the difference on your item compared 2 their.  I took 3 bites & gave it 2 my dogs........",0
"Everyone knows this is the Best place for something cheap and Amazing! If its just for a nice Breakfast, Lunch, Dinner, or Hangover Meal its perfect! I love this place not only there food, but easy service, and quick serving!! My suggestion is to go inside rather the drive thru it will be quicker trust me!",1
"The In-N-Out of mexican food..\n\nThey wear gloves when handling your food you paid for, that is stellar service. The Robertos i went to on South Eastern is awesome as well, I think better but I live on the west side of Vegas so this gets my review. The Robertos on Owens is terrible and ghetto.\n\nGreat place, freshness everywhere! Fresh Pepsi products! From the jalapenos/carrots/onions bathing in the vinegar spiced juices to the tortilla and the innards of any burrito you want, everything is immaculate, polite staff, everything is clean minus the graffiti. I've had all burritos from Bean and Cheese to Carne Asada(I'll go further down the menu later down the road), AWESOME. They're the most expensive I have ever paid for a great place (big tacos $2.75 with meat, pico, guac) but \""""F\"""" it, it's quality. Pure quality, love it. I dig this place over Del taco and Taco Bell for mexican food. I've been to a few other places but Robertos always hits the spot. Quality. That is what spells Robertos.\n\nP.S. They have$1 chicken tacos every wednesday which are awesome as hell. Add sour cream, cold pepsi, jalapenos and carrot slices in the vinegar juices and OMFG...\n\nI always come here, the only time I don't is when they don't wear gloves. If anybody doesn't wear gloves touching my food or I can't see the cooks wearing gloves handling my money in the kitchen, that restuarant doesn't get my business, i shouldn't have to lick cooks hands. So what if people don't like rules, don't make a career out of a fast food job you don't like. You don't like working there, piss off!",1
"I've been to Vegas more times then I can count, and I've always stayed right on the Strip. This time was a little different though. Because of a delay, my airline (Us Airways) gave me a hotel voucher for the night. Ok, sure.\n\nTo sum up my experience: I will be staying here the next time I am in Vegas! BFF and I were so happy with the Hampton Inn! They offer a free shuttle, which runs to the airport and also to the Strip. The location is great; although it's not right on the Strip, it is walking distance. It is caddy-corner from In-n-Out, for those familiar. \n\nThe lobby and room were nicely decorated. I will be posting pictures of the room and bathroom. We were very impressed by the quality of the mattress and bedding. I was also impressed with the friendliness of the staff. Every single staff member, from the front desk to housekeepers, said hello with a smile to us. The Hampton Inn also offers a complimentary hot breakfast every morning.",1
"This is the only Hampton Inn I've ever stayed at that I was very disappointed with. Don't think I will ever stay at this particular location again.\n\nBeing a Gold HHonors member, I don't feel like I needed to be treated like royalty, but do ask to be treated with respect. Unfortunately I feel like I didn't get much when I stayed here. \n\nI had specifically asked for a room upgrade, and when I arrived they said they'd already given them out. Not to other Gold members, but I guess just to random people. That wasn't fun. The second part that I did not enjoy was I specifically ask for rooms away from anything with noise - elevators/stairs/vending machines/etc. I'm here for work, not pleasure, so I need my rest when I can get it. They placed me in a room right next to the bar where plenty of people were outside, smoking, and being damn loud.\n\nThat coupled with a faulty heater/cooling unit made for a very unpleasant stay. I did call in and ask for some help, but really wasn't met with any. They couldn't move me until later in the week, blah blah blah.\n\nAfter all of the problems I was having, I didn't complain directly again to the staff - I was sick with a fever of 101 and still had to work 11 hour days. So when I finally did recover and let the appropriate individuals know after my stay, they were more sympathetic. That's the only reason this place doesn't get 1 star.",0
"definitely not worth the money.  there was no remote control in the room, the heat/air did not work, the phne did not work, the supposedly white towels were dingy and the  staff literally sucked.",0
"As the hotel is rather nice and the facilities are great. Everyone should be for warned that the General Manager at this hotel has the worst customer service.  On par with a cheap slum motel in the most ghetto part of the country you can imagine.  There are many thousands of hotels to choose from on and off the strip in las Vegas, I would recommend choosing another before booking at this location.",0
"This is a great hotel to stay at near the strip when you don't have a lot of money. I was there the weekend on July 28th. There was a little trouble after check in but everything was sorted out. There were 6 girls in the room with 1 bathroom! It wasn't too bad actually =] I had a blast. We tried to be up for the breakfast but trust me, with the nights we had we didn't wake up until after noon. HEY IT'S VEGAS! I had a blast! Rooms were pretty big and clean. Even for 6 girls there was a lot of space for us. I will definitely return when the strip is too expensive. Oh and I forgot to say that it's really really close to the strip. It's only a u-turn away. It's in a great location.",1
"ok 5 stars because I dont give bad ratings, but few things can be improved like shower need to step up from 80 dark era lol and I do still smell cigarets smell in a lobby. \nLocation is absolutely amazing and for it price it is a 5 stars place. Clean and friendly.",1
"I made a reservation for an employee of mine on a Friday to check in on the following Wednesday for a month-long stay (a $2300 reservation).  When I called for a credit card authorization form so our company could pay for that, I was told that credit card authorization forms had to be submitted a week in advance.  I said \""""Well, I wasn't able to do that because I didn't know we'd be sending him out until today\"""" and I was told that Chris West would have to approve it, but she was gone until Monday.  I called back a couple of times for her on Monday and left messages and never heard back.  I finally called and had to threaten to cancel our reservation before they would FINALLY send me a credit card authorization form (this was on Tuesday morning).   I got confirmation that the form was received, but told that Chris West was the only person who could approve that.  I still was never able to reach her.  My employee arrived and tried to check in today, only to be told that, because they did not receive the form 7 days prior to his stay, they wouldn't be able to charge our company card.   I advised him to cancel the reservation and we moved him to the Fairfield Inn and Suites down the street.\n\nIt's unbelievable that a hotel chain like this would choose to not honor a perfectly valid form (even though we have had other Hampton Inns accommodate us, even on the same day) and choose to lose a reservation worth $2,300.   This hotel will NEVER get our business again.   We have 2-5 more people scheduled to go out within the next month, all for month-long stays.  We are also advising our client to not stay at this hotel as well.\n\nMy employee also advised me that the ladies at the front desk were extremely rude to him from the moment he arrived.  Never a good thing.",0
"Guys and gals, most Hampton Inns are going to give you a good room, good bed to sleep in, no thrills, but solid rooms. This location does not disappoint. They do have a bar and some slots in the main lobby area. Solid location, just about 0.3 miles from the Tropicana/MGM Grand/NYNY corner of the strip. If you are using a cab probably $5 bucks and across from the hotel is an in and out burger (which is awesome too). \n\nThis hotel does provide a shuttle to/from the airport to the hotel. Again, very solid. \n\nEnjoy!",1
"I stayed here on July 8th and woke up to 50 - 100 bedbug bites all over my body.\n\nI complained to the hotel, they contacted their exterminator, and a couple days later reported back that there were no signs of bedbugs in the room.  Oh really?  I compared my bites to online photos and am quite sure they were bedbug bites.  They either have an incompetent exterminator (I doubt it) or are liars in order to avoid liability, since it can be quite disruptive and expensive if the bugs hitch a ride home in your clothing or luggage and need to be cleared from your residence.  A manager offered me a free single night's stay right back in the same infested hotel.  Obviously I turned down such an exciting offer!\n\nI complained to Hilton Corporate and after a month long run around they gave me a single night's stay at any property.  It's quite underwhelming considering the number of HOURS it took to quarantine and clean my clothes and luggage to ensure that no bedbugs entered my home.   Not to mention the bites hurt and itch.\n\nIn case you care, aside from the bedbugs and horrible customer service, it was a pretty standard Hampton Inn, which I normally consider to be nice for the money.\n\nThe only reason I was at the hotel was because my Southwest flight was cancelled.  For my trouble Southwest gave me $300 in travel vouchers.    So, will I fly Southwest in the future?  Absolutely, because their only fault was selecting the hotel, yet they at least seemed to care that my experience was pretty miserable.   Will I ever pay to stay at a Hampton Inn or Hilton in the future?  Very highly unlikely due to very questionable integrity and horrible customer service.\n\nNOTE:  Google - this property and bedbugs.   This is NOT an isolated incident.  Beware - it's not worth the risk!",0
"I'm going to stay in so many hotels the rest of this year, that I'm going to try to figure out how to sum up the PROS of a property in 5 words or less, in order of importance to me:\n\nClean\nComfortable\nQuiet\nFriendly \nInternet\n\nI can't do 5 words.  I spent 3 nights here last week.  The lobby is under construction for the next week I think, so there was no in-house booze while I was there, but it will be back soon.  Breakfast was fine.  Nothing outstanding about it, nothing bad either.  Staff is top notch here.  Free parking and easy access to the strip without the noise.   Would have been nice to have a mini-fridge in the room for yogurt and water.  Oh who am I kidding?  For ginger ale to go with my Jameson.",1
"Literally worst hotel I've ever stayed in. I just stayed here for presidents weekend with my volleyball team and it was by far the worst experience of my life. The rooms were TINY with small beds and sheets that wouldn't even stay on the mattress. The hotel staff refused to help us with a solution to getting a small cot in the room for one of the girls who actually had to sleep on the ground, thanks a lot Steve. The breakfast was disgusting. We called housekeeping two nights in a row yet they still wouldn't bring up fresh towels. If you wanted something, you had to walk downstairs and get it yourself..... WHO DOES THAT?! I mean it was ridiculous and I know we may be young but we would still like to be treated as any other guest would. Not to mention my friend woke up with bed bug bites ALL over her legs this morning and having a busted air conditioning system. All in all, it was terrible. I wouldn't recommend it to anyone. I honestly would've rather stayed in a motel 6.",0
"Close enough to the strip to walk if you want of 10 by cab. Felt safe, which in Vegas off strip isn't always the case. Left my top down on the car, only prob in the morning was the yellow Lamborghini parked next to it :)\n\nClean room, quiet, easy check in and super nice staff. AM breakfast manager was helpful. Downside?  Pool was just closed for renovations...in June...really?  Why not January?",1
We love this place. Away from the smoky casinos. Clean room. Clean bed. Great breakfast. Enjoyable pool. Thank you Roddell for your help in securing 2 rooms for my family of 6!  Can't wait to return .,1
"Ok, so I've never been a fan of Domino's in the past and I can't say much has changed since they said they had redone their recipe for a \""""better\"""" pizza. The crust is just too overly seasoned. That really turns me off. It tastes like they put way too much garlic powder combined with Mrs. Dash on it, ew.\n\nThe texture is ok, but it's really not doing it for me. I prefer Pizza Hut or Papa John's still if I'm going for a cheap pizza on the quick.",0
"I would give zero stars if I could...I ordered a pizza, an hour and a half ago. Called to see where it was...the guy who answered was pleasant and said he'd give me a credit for another time and to call when my pizza finally arrives, about 25 mins later I get my pizza (that's about 2 hours after I ordered it)...I called the store back...he said I'm glad you got your pizza, got the name of the driver (shouldn't he already know that information?) and then hung up! No apologizes, no I'll get you your credit...just hung up! I won't ever order from this place again!!!!!",0
"They don't deliver to the luxor.\n\nAfter a long night, I didn't feel like leaving the room the next day for lunch. So me and my cohort decided to order some pizza, to help save some cash over room service.\n\nAs usual the menu look great and was very cheap. So I placed the order on my phone and went back to sleep, hoping to wake up to banging on my door with pizza being shoved at me.\n\nAbout 30 minutes later I get a call from the driver claiming he couldn't deliver to the Luxor and that I would have to walk down to the taxi pickup to meet him.\n\nAt this point I could have just gotten lunch at the crummy Luxor food court for the same price with less effort.\n\nThe food was good as expected, but Dominos should really update their ordering service to let you know if you can't have your pizza delivered to your room. That is kind of the whole point of delivery... you don't have to put pants on.",0
your driver Jonathan is a creep! that little freak decided to text our friend (who was visiting us and made the order) to complain about the tip he received. that's really rude and weird that he's using our order information in such a negative way. especially when this person knows where I live.,0
Not only was the food brunt but the customer service is ridiculous! Extremely rude! Make sure to triple check your order before handing the driver a tip!,0
"Just curious,\n\nWhy would a pizza chaim stop offering parm. cheese?\n\nPizza better some days than others, but would sure be nice if drivers or even store carried parmesan cheese and crushed pepper. Many times drivers do not even have napkins.\n\nI prefer to call papa these days.",0
"They really suck.They do not offer parm. cheese, so when we order from them we have to use extra packets we have from REAL pizza places. Also twice have ordered from local store, just to go there and order was lost or not there. Jerk at store asked if we had ordered from Pizza Hut. We probably would have had food by now if we did.\n\nWe stick w/ Papa for chain pizza delivery.",0
"Always The Best! I've ordered pizza, wings, and subs from here before. Sauce is always so thick and tasty, wings are a blast of heaven in every bite, and the subs... cooked to perfection! These men and ladies here, really know what they're doing. My favorite pizza delivery place by far.",1
"Such a pleasure to deal with. If your heat or air goes out these are the people you want to do business with. They were recommended through word of mouth, I like that in a business because you know someone else was a happy customer. They were timely, efficient and honest (we knew what was broken because HomeDepot, who we thought we had a warranty with came out looked gave us a price and charged us 79 dollars for a service call) \nKen was the serviceman who came to my house, he spoke very highly of the company he worked for, and he was very nice and professional, he checked out the unit diagnosed the problem explained it to me and told me someone would come back tomorrow with the part to fix the unit. As promised he came back, at the time promised with a call he was on the way. They have been around for a long time that in itself says something :)",1
"To make a long story short, my AC was not working well during the heat of the summer day but worked fine at night.  The tech they sent was adamant about replacing the unit because it was apparently in terrible condition.  I was dinged for 250 bucks in coolant charges that was used to cool off my AC for the tech to even be able to diagnose it.  In total they charged me $500+ and the AC still did not function correctly. \n\nI did not believe the unit needed to be replaced so I had a 2nd opinion done by SilverState Refrigeration & HVAC.  It turns out the only thing wrong with the unit was a bad capacitor which was fixed for  $189.  Also instead of using coolant to cool off the AC to diagnose it,  the tech just used water from a water hose  for no extra charge.\n\nGoing from needing the unit replaced to just a bad capacitor really makes me wonder what RightNow Air was thinking.  Glad I didn't fall for their ploy to get a new unit which would have costed me $5000+.  \n\nI would never recommend RightNow Air  to anyone because you will likely be taken for a ride.  Businesses that try to take advantage of people in the summer heat of Vegas is just criminal.\n\nSilverState Refrigeration & HVAC would be the ones to call.  My AC is working great now and I spent less than half of what I paid RightNow Air to just blow smoke up my ass.",0
"i used this business 2 years ago and signed up for a year of service for $25.00\nper month.  i had my thermostat replaced and the service person said i needed\n2 compactors for my furnace, costing around $250.  he tried to \""""sell\"""" me a\nnew heater/a/c unit, which i declined.\n\nanother new service person came to check out my \""""free\"""" a/c unit last spring,\nbut it cost $159.00.  he said he would put himself down, on paper, to schedule\nmy next service.  i did NOT like that! \n\nsince he was buying a new home, he also tried to \""""sell\"""" me a new heater/a/c unit;\nand even took pictures of my outside units on video.  he said the wires might\nget hot and things looked rusty.  he kept bugging me about making coffee, and\nasked too many questions of my home.  i had had it with them, and i called\nthem to stop mailing and phoning me.\n\nwould not recommend this kind of service to anyone.\n\nbarb b\n9/6/2013",0
"I didn't actually get any work done with these guys, I was a walk in on a day they happened to be short handed, but I did schedule an appointment with them for later in the week based on their well kept garage,  clean uniforms, and friendly personable service, unfortunately I had to cancel due to the fact I needed my car worked on asap,  so I ended up going to the next garage over to proctors discount automotive who did a 5 star job fixing my car, but the fact that pro-tech was to busy to take my business that day is not there fault,  they run a well organized tight ship over there I can tell. I would recommend the guys next door first because they did an awesome job, but I also know you can't go wrong here.",1
This company strung us along for almost two months waiting for a sign to be made and installed . finally with no call we called them only to be told that they couldn't make the sign they agreed to build.\n\nwe are a small local company since 1945 and feel totally ripped off by this company !,0
"The price is good and i liked working with gerald on the design team, but that's about it.\n\nProject management was a mess. They submitted a design to city for approval on a design that i had rejected, causing confusion, backtracking and delays to my project. Also, good luck getting the sales guys or the owner to return your calls after payment has been made. I had placed 4 or 5 calls to ask about maintenance of my sign. I feel like i'm simply not a priority - 6 months after i placed my last call to them and i have yet to hear back from them. \n\nUse them if you want to save money and don't mind managing the project yourself to the minute details, and have your own contractor who can maintain your sign if it is defective. I'm giving them one extra star for price and for Gerald.",0
I wasn't impressed by my carne asada buritto-it was ok. I am VERY burrito picky! Some friends rave about this place-so I ordered what they get: the carnitas plate. I love it! It may break my burrito habit.\nNow if I could only find the perfect burrito in vegas.,1
Very bland.,0
"Felipito's on Decatur?! I wonder if it's the same as the one on Tropicana?\n\nNaaaaaaahhh! Not even close, they should really change the name.  I ordered a grilled chicken burrito from here expecting chicken, lettuce, sour cream, and cheese.  Instead, I got rice, cheese, and like 2 table spoons of chicken that tasted old and had plenty of ligaments I had to spit out.  Good thing a ordered one of their mini Carne asada tacos which came with beans and chips on the side.\n\nThe inside is dirty and the tables were filthy.  The workers seemed like they didn't wanna be there and had a face on them like someone just stole their sombrero.  I might give this place another try, but only if I'm in the area.  Definitely wouldn't go out my way to eat here.  The Tropicana location is better in every way.",0
This is easily the worst Mexican Food I have ever had.. I mean.. bad.. was so crappy that for 24 hours i kept remembering it.. yeah.. that's right.. Montezuma took his revenge on me.. totally 100% bad food.. avoid it...,0
"My go to mexican spot! Cheap and delicious. It's a no frills, quicky meal! Price, locations, and offerings are about the same as roberto's but this is definitely a step up above the regular fast mexican resturant. Chicken burrito is bomb",1
Great food! There are very few places you can get great Mexican food and this is one of few! Great prices for the food and the staff are great people! I always go there after a night out!,1
