text,label
Good breakfasts options. They have your classics and some tasty healthy alternatives too.,1
"Great place for breakfast and a cup of coffee. The ladies here are amazing and super nice. They bring out my food in a timely manner and the eggs benedict there are to die for. During the Fall/Winter season, they have a specials menu that was delicious. If they still have it I recommend trying the pulled pork sandwich and the butternut squash soup. meals are reasonable priced, and if you go online and subscribe to their newsletter you get a buy one get one entree coupon for your next visit, and you get a free entree on your birthday. This place never disappoints.",1
Great healthy breakfast!,1
"This is a Breakfast ,Lunch place that used to be beyond Great!\nWe really loved coming here many years ago.\nThe same people worked here and it was always a pleasure to come in.\nFood was wonderful and so was the service.\n\nThen things started to change. The food was not as good,\nThey changed the menu up.  Then the staff started to change.\nWhen you start losing all the staff you have had for so many years something is not right inside the company.\nThe service and food really went downhill.\nSo we stopped coming here.\n\nWell, lately I have been back 2x's. Things are better. They are trying.\nBut, it is still not the same. However, service is fast again, and they do check on you all the time. Food is working it self back up the hill.\nMaybe they should fo more organic or something.\nIt is still a good place, just not what it was.",1
amazing food and great staff.\n\ntry the banana blitz if it is still around when you go,1
I went to first watch for first time and will not be back. I ordered the Chickichanga. The potatoes were burned. I also feel like they were frozen potatoes. The chicken I had inside felt like rubber. And tasted just like frozen Tyson chicken. I felt like I was on an episode of restaurant impossible where I had to taste and criticize the terrible food. The service was not as wonderful as everyone is saying. Yes they were nice but that's all. The host sat us in the very back of the restaurant when there was clearly room towards the front for us to sit. It took at least 10 min for anyone to come to us. After we got our food about 15 min later the waitress brought our bill. It felt as if they were trying to rush us out. But by then I was disgusted by the food I honestly was ready. But hey the water was good.,0
"It was ok I guess. I had the huevos rancheros, hubby had the traditional breakfast. \nFor me - the beans tasted like canned beans, the tortilla tasted store bought like mission tortillas & the chorizo was a tablespoon so more beans than anything. My over-easy eggs, sliced avocados & potatoes were probably the only thing fresh. Oh, and the pico de gallo was pretty good. So overall it was alright for the amount of serving you get & $. If you're starving it'll fill you up. Most likely won't visit again.\nHusband said it was bland but did the job (after adding salt, pepper & hot sauce) since he was starving.\n\nApart from the food, the service surpassed the food! :)",0
"There may be other breakfast places that are more unique, have better individual menu items, or are more compelling for one reason or another. But over the years, this place has consistently provided great healthy meals and excellent, fast, friendly service. I have never had a bad experience here and have always left wondering why I don't come back here more often. Then I go and try some new trendy breakfast joint, only to realize I would have been better off coming back to First Watch instead. My personal favorite dish is the Chickichanga, but I've eaten half the stuff on the menu and it's all been really good. And I particularly enjoy the fact that no matter what I eat there, I never feel like I just ingested 9lbs of cheese and grease when I'm done. It's all light and healthy and fantastic.",1
Amazing and cheap breakfast. Everything was fresh and delicious. You get your own personal coffee pot for your table. The service was outstanding! Our waitress was so sweet and even offered a to go cup for my coffee.,1
We ate here because it was across the street from St. Joseph's hospital where our baby was in intensive care. Had the Parma Hash. It was amazing!!! I love the server Tomara! She has an awesome personality. She noticed my hospital bracelet and we told her about our baby and she was sweet enough to say a prayer for him. I would definitely recommend this restaurant. It has a friendly happy environment.,1
"Great service and food!  The menu is leans (no pun) toward the healthy side, but there are hearty items like \""""Bubby's Benny\"""", which is sausage, sausage gravy, biscuits and potatoes. The perfect breakfast for a hangover!\n\nOnly knock for early risers is that it doesn't open till 7:00am on the weekends.",1
"I love breakfast, and First Watch does it right.  I had a hard time deciding because there were so many healthy options, along side heartier food.  Service was good.  I'll be back!",1
Really good with good healthy options! I had the chikichimi which was wonderful! Came with fruit to finish tha job whaaaaaaaaaattttt,1
"This place is GREAT! Got rid of some jewelry I never wear and they got me the beat price for it. Plus they had a variety of items for sale. The staff was friendly and you can tell that the manager, Johnny, definitely takes pride in his staff and store. Wonderful experience!",1
