text,label
"I don't really get why this place has so many good reviews.  I got take out last night and the food was really just average.  The chicken wings were extremely dry and the Kung Pao chicken was not spicy at all.  The teriaki chicken and lo mein noodles were pretty good but nothing too special about them.  I think that the food from Pick Up Stixx that was at this location before Tott's moved in was much better.\n\nOverall, not horrible food but I doubt I will eat here again.  For the same money, I would rather go to Pei Wei for much better food.  Or for the same boring food for much cheaper (and free delivery) I will continue to order from Magic Wok.",0
"Tott's is great- pan fried noodles (chicken), lettuce wraps, and the Orange Chicken, all excellent. \n The restaurant is all new. You order at the counter. Everyone there is very friendly and helpful. Don't order the Lemon Tart-why did I?? \nIf you want good Asian food, go here.",1
"My daughter and I are gluten free diets, and even though we both love Asian food, it is generally hazardous for us.  Tott's has been one of our safe havens in this area.  The manager is very willing to accommodate our needs, such as cooking without soy sauce.  For those who are highly sensitive, there will be likely be cross-contamination, but we have been eating there for years and feel that we have been far safer here than with Pei Wei, who has a gf menu.",1
"I used to go here infrequently when it was Pick up Stix.  I tried it last night with a big phone in order as AI had family.  They cheerfully said ready in 25 minutes and it was.  I ordered Kung Pao Chicken as spicy as they could make it.  The owner rang us up and asked who ordered the extra spicy and make sure I had water.  He was right!  Most places are afraid to make it as spicy as I like it, but not TOTTS.. Thumbs up for that.  Everyone enjoyed what they ordered, even my picky 9-yr old who had the pan fried noodles with chicken.  The only minor complaint came from my brother in-law who said it was saucy.  Then he proceeded to eat the whole thing.  One thing keeping them from getting 5-stars is the tip jar at the counter.  I get tips at a service type meal, but not to give me my food and take my money.  Overall, it was great and we'll keep going back!",1
"Tott's use to be one of my favorite Chinese food restaurants, my co-workers and I would go at least once a week. I went there last night when the owner wasn't working and received the worst customer service I have received in a long time. They messed up my order multiple times and told me I was wrong when I clearly wasn't. They gave me an attitude when I was attempting to be polite and didn't listen to me. Worst of all this was a takeout order and I had to drive there twice and then deal with their rude employees. Even the cook gave me an attitude. I have never received less than perfect customer service when the owner was there, but I am sad to say that me and my co-workers will never return to Tott's again. Best of all, when I got home they did not give me any soy sauce, sweet & sour sauce or pot sticker's sauce which I had asked for extra of each one on both trips... And I had just given them 50 dollars of my business...",0
Pretty good food and good-sized meals,1
Amazing Asian food! I love the curry noodles with tofu most but the orange chicken is amazing! The owner is really friendly and the food is consistently good!,1
"Great menu selection, food is hot and fresh and you can't beat the prices!",1
"For the price this place beats Pei Wei by a mile...  The serving size is very ample and the service is very fast!  I enjoyed Kung Pao Chicken with Brown Rice on my first visit.  At first I thought I would need a take out box when I saw the size of the dish, then I was real hungry and managed to down it all in one sitting.. The Price was under $9 with tax and no drink..   I would recommend giving this place at least one try if you are a Pei Wei fan or just like Fast Asian food.. Lots of varieties and a very clean diner..",1
"Great food, good value.  Wonton soup is awesome and a meal in itself. I also recommend the Panang.",1
